district,latitude,longitude,date,year,cases
Dharmapuri,11.620204042032553,77.98810758995262,2024-02-06,2024,16
Perambalur,11.21215672280004,79.19018115232493,2016-11-02,2016,11
Thanjavur,9.435157103765098,78.98806423544055,2023-06-01,2023,16
Tiruvallur,12.884005519149685,79.1581674412871,2017-04-02,2017,12
Thoothukudi,10.745965039564158,79.87680787016569,2016-11-16,2016,5
Tiruvallur,12.884005519149685,79.1581674412871,2024-06-09,2024,12
Theni,11.028664171009837,79.84010167865944,2017-04-29,2017,9
Perambalur,11.21215672280004,79.19018115232493,2019-07-22,2019,16
Tiruvarur,9.364422817745872,79.0479597862676,2016-01-20,2016,10
Krishnagiri,8.952412058033609,79.96754407478385,2022-07-11,2022,15
Tenkasi,9.415803319809571,77.79460476523921,2011-04-22,2011,9
Ramanathapuram,10.459286774629927,79.98738840538071,2015-03-04,2015,8
Kanyakumari,12.058539062877301,78.7208672049697,2017-05-15,2017,12
Tiruvarur,9.364422817745872,79.0479597862676,2022-07-10,2022,14
Tenkasi,9.415803319809571,77.79460476523921,2016-04-23,2016,13
Nagapattinam,8.175088461543824,79.18625315713577,2023-03-09,2023,17
Cuddalore,11.398891248278582,78.96890626302286,2020-10-17,2020,9
Kanyakumari,12.058539062877301,78.7208672049697,2018-03-27,2018,18
Tenkasi,9.415803319809571,77.79460476523921,2025-12-02,2025,22
Mayiladuthurai,12.511186625404672,78.71974466077558,2022-07-11,2022,10
Dharmapuri,11.620204042032553,77.98810758995262,2016-12-23,2016,12
Ariyalur,12.305881205692778,76.62231682841326,2025-02-19,2025,15
Ariyalur,12.305881205692778,76.62231682841326,2023-06-25,2023,16
Tiruchirappalli,10.494646628898746,79.3199696545924,2025-11-30,2025,8
Ramanathapuram,10.459286774629927,79.98738840538071,2020-11-04,2020,11
Dindigul,11.71587791882988,77.4615963417431,2021-11-19,2021,16
Namakkal,11.88168313402467,78.21006029734804,2022-09-22,2022,10
Cuddalore,11.398891248278582,78.96890626302286,2022-04-06,2022,18
Madurai,10.184734806512786,77.18063412427139,2017-06-19,2017,14
Kallakurichi,10.947006157151062,79.95492868203901,2024-01-29,2024,20
Karur,10.494940950452266,76.74816994691155,2017-06-10,2017,13
Ariyalur,12.305881205692778,76.62231682841326,2017-05-10,2017,8
Thanjavur,9.435157103765098,78.98806423544055,2018-01-01,2018,17
Nilgiris,9.741199889019123,79.47675341562179,2015-06-02,2015,13
Tirupathur,9.264329008844909,79.8427404651618,2013-03-18,2013,11
Ranipet,10.74911792754445,77.95757451518396,2022-08-22,2022,14
Chennai,12.978227524916026,79.78258582106868,2022-06-27,2022,13
Tirupathur,9.264329008844909,79.8427404651618,2023-09-14,2023,10
Madurai,10.184734806512786,77.18063412427139,2015-09-16,2015,17
Namakkal,11.88168313402467,78.21006029734804,2018-12-26,2018,9
Dharmapuri,11.620204042032553,77.98810758995262,2025-04-20,2025,16
Tiruchirappalli,10.494646628898746,79.3199696545924,2020-09-27,2020,11
Ranipet,10.74911792754445,77.95757451518396,2019-12-27,2019,12
Karur,10.494940950452266,76.74816994691155,2014-07-13,2014,10
Madurai,10.184734806512786,77.18063412427139,2017-04-14,2017,18
Sivaganga,9.82810637090627,77.21275160084942,2016-09-17,2016,13
Perambalur,11.21215672280004,79.19018115232493,2016-05-11,2016,11
Nagapattinam,8.175088461543824,79.18625315713577,2023-08-23,2023,17
Ranipet,10.74911792754445,77.95757451518396,2025-09-19,2025,9
Nilgiris,9.741199889019123,79.47675341562179,2020-12-20,2020,6
Viluppuram,12.485439055348948,78.36255300160714,2020-06-12,2020,18
Dindigul,11.71587791882988,77.4615963417431,2025-08-21,2025,12
Kallakurichi,10.947006157151062,79.95492868203901,2021-03-10,2021,11
Krishnagiri,8.952412058033609,79.96754407478385,2016-11-13,2016,4
Ranipet,10.74911792754445,77.95757451518396,2025-04-09,2025,16
Thoothukudi,10.745965039564158,79.87680787016569,2020-06-14,2020,16
Tiruvannamalai,11.975069982513673,80.33873216325708,2024-09-25,2024,12
Karur,10.494940950452266,76.74816994691155,2014-08-05,2014,3
Viluppuram,12.485439055348948,78.36255300160714,2019-11-11,2019,15
Pudukkottai,13.448163145399755,79.75913900405705,2021-07-27,2021,13
Dharmapuri,11.620204042032553,77.98810758995262,2016-08-26,2016,14
Erode,12.22226401305712,80.06453910782892,2022-03-06,2022,11
Nilgiris,9.741199889019123,79.47675341562179,2022-01-30,2022,16
Sivaganga,9.82810637090627,77.21275160084942,2022-01-16,2022,15
Ramanathapuram,10.459286774629927,79.98738840538071,2013-11-27,2013,14
Thoothukudi,10.745965039564158,79.87680787016569,2021-04-02,2021,11
Pudukkottai,13.448163145399755,79.75913900405705,2021-05-10,2021,10
Dharmapuri,11.620204042032553,77.98810758995262,2020-09-15,2020,9
Thoothukudi,10.745965039564158,79.87680787016569,2016-04-01,2016,13
Erode,12.22226401305712,80.06453910782892,2015-01-31,2015,9
Dindigul,11.71587791882988,77.4615963417431,2023-01-06,2023,13
Ariyalur,12.305881205692778,76.62231682841326,2023-05-31,2023,13
Mayiladuthurai,12.511186625404672,78.71974466077558,2025-11-15,2025,18
Perambalur,11.21215672280004,79.19018115232493,2021-06-12,2021,13
Tiruvarur,9.364422817745872,79.0479597862676,2025-11-17,2025,11
Virudhunagar,8.479253000752081,80.0074729531343,2025-05-04,2025,13
Nagapattinam,8.175088461543824,79.18625315713577,2015-09-24,2015,12
Vellore,8.22596513178947,78.98801287255277,2019-12-14,2019,10
Chennai,12.978227524916026,79.78258582106868,2023-05-01,2023,12
Tiruvallur,12.884005519149685,79.1581674412871,2019-08-13,2019,13
Virudhunagar,8.479253000752081,80.0074729531343,2025-05-31,2025,14
Dindigul,11.71587791882988,77.4615963417431,2016-07-08,2016,11
Kanchipuram,12.553203369050639,76.91809803087223,2018-11-07,2018,15
Krishnagiri,8.952412058033609,79.96754407478385,2025-08-16,2025,11
Madurai,10.184734806512786,77.18063412427139,2025-07-29,2025,20
Ariyalur,12.305881205692778,76.62231682841326,2022-12-08,2022,9
Thoothukudi,10.745965039564158,79.87680787016569,2022-06-05,2022,16
Thanjavur,9.435157103765098,78.98806423544055,2021-03-07,2021,8
Perambalur,11.21215672280004,79.19018115232493,2020-02-18,2020,16
Tirunelveli,11.364535836693786,78.9978185573482,2023-06-18,2023,15
Coimbatore,13.19639313368383,78.14988766209166,2014-05-04,2014,9
Tirunelveli,11.364535836693786,78.9978185573482,2023-10-01,2023,15
Chennai,12.978227524916026,79.78258582106868,2023-11-27,2023,18
Dindigul,11.71587791882988,77.4615963417431,2016-05-12,2016,14
Thanjavur,9.435157103765098,78.98806423544055,2023-12-23,2023,14
Ranipet,10.74911792754445,77.95757451518396,2023-02-13,2023,13
Theni,11.028664171009837,79.84010167865944,2017-09-13,2017,13
Madurai,10.184734806512786,77.18063412427139,2023-05-26,2023,20
Theni,11.028664171009837,79.84010167865944,2015-09-28,2015,6
Ramanathapuram,10.459286774629927,79.98738840538071,2019-10-13,2019,14
Tirupathur,9.264329008844909,79.8427404651618,2023-11-11,2023,7
Nilgiris,9.741199889019123,79.47675341562179,2021-02-27,2021,19
Erode,12.22226401305712,80.06453910782892,2024-11-24,2024,11
Kanyakumari,12.058539062877301,78.7208672049697,2025-06-05,2025,10
Kallakurichi,10.947006157151062,79.95492868203901,2019-01-21,2019,6
Tenkasi,9.415803319809571,77.79460476523921,2018-05-23,2018,10
Tiruvannamalai,11.975069982513673,80.33873216325708,2016-11-17,2016,15
Salem,9.25577671285841,76.59582102659637,2018-12-05,2018,12
Erode,12.22226401305712,80.06453910782892,2013-03-21,2013,6
Nilgiris,9.741199889019123,79.47675341562179,2015-11-11,2015,7
Tenkasi,9.415803319809571,77.79460476523921,2024-06-15,2024,15
Karur,10.494940950452266,76.74816994691155,2016-04-03,2016,7
Cuddalore,11.398891248278582,78.96890626302286,2017-05-01,2017,11
Kanyakumari,12.058539062877301,78.7208672049697,2024-11-02,2024,18
Ranipet,10.74911792754445,77.95757451518396,2018-03-14,2018,14
Nilgiris,9.741199889019123,79.47675341562179,2025-03-20,2025,18
Viluppuram,12.485439055348948,78.36255300160714,2022-10-08,2022,11
Kanchipuram,12.553203369050639,76.91809803087223,2013-04-08,2013,5
Dindigul,11.71587791882988,77.4615963417431,2025-05-02,2025,17
Tiruvannamalai,11.975069982513673,80.33873216325708,2023-09-19,2023,18
Thoothukudi,10.745965039564158,79.87680787016569,2014-03-29,2014,12
